mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11129,,"{'UNE': 17, 'AZUL': 4, 'VALOR UNIONISTA': 20, 'CABAL': 28, 'TODOS': 11, 'VAMOS': 7, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 5, 'VIVA': 31, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 33}",5,35,271,1,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11130,,"{'UNE': 22, 'AZUL': 6, 'VALOR UNIONISTA': 9, 'CABAL': 25, 'TODOS': 5, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 13, 'SEMILLA': 39, 'FCN-NACION': 1, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 11, 'VIVA': 23, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 28}",7,44,272,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11131,,"{'UNE': 22, 'AZUL': 6, 'VALOR UNIONISTA': 13, 'CABAL': 35, 'TODOS': 10, 'VAMOS': 9, 'PHG': 2, 'PR': 2, 'PIN': 3, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 5, 'UR': 7, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 7, 'VIVA': 25, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 25}",21,36,293,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11132,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 39, 'TODOS': 4, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 4, 'ELEFANTE': 4, 'VICTORIA': 10, 'SEMILLA': 44, 'FCN-NACION': 1, 'PPN': 4, 'UR': 4, 'URNG-MAIZ WINAQ': 11, 'CREO': 0, 'BIEN': 5, 'VIVA': 35, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 27}",19,38,290,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11133,,"{'UNE': 10, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 28, 'TODOS': 5, 'VAMOS': 15, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 32}",13,42,271,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11134,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 25, 'TODOS': 7, 'VAMOS': 11, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 50, 'FCN-NACION': 3, 'PPN': 5, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 1, 'BIEN': 6, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 35}",5,45,274,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11135,,"{'UNE': 21, 'AZUL': 4, 'VALOR UNIONISTA': 14, 'CABAL': 34, 'TODOS': 4, 'VAMOS': 8, 'PHG': 2, 'PR': 3, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 6, 'VIVA': 23, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 33}",13,25,266,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11136,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 26, 'TODOS': 12, 'VAMOS': 12, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 45, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 4, 'VIVA': 20, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 30}",10,37,247,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11137,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 27, 'TODOS': 8, 'VAMOS': 5, 'PHG': 1, 'PR': 4, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 48, 'FCN-NACION': 0, 'PPN': 4, 'UR': 5, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 11, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 2, 'VOS': 29}",8,30,254,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
11138,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 4, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 104, 'FCN-NACION': 2, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 16, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 25}",7,24,245,0,Algún campo sin dato,9.Quetzaltenango,14.Cantel,1495,presidente
