mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11190,,"{'UNE': 62, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 19, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 0, 'BIEN': 0, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",36,62,266,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11191,,"{'UNE': 57, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 31, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 8, 'CAMBIO': 1, 'VOS': 4}",38,65,279,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11192,,"{'UNE': 60, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 8, 'TODOS': 1, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 3, 'VIVA': 20, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 6}",41,57,277,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11193,,"{'UNE': 62, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 30, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 25, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 1, 'VIVA': 16, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 2}",60,41,282,0,,9.Quetzaltenango,15.Huitán,1500,presidente
11194,,"{'UNE': 69, 'AZUL': 1, 'VALOR UNIONISTA': 26, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 22, 'SEMILLA': 1, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 4, 'VIVA': 19, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",37,58,283,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11195,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 33, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 3, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 27, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 2}",43,46,282,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11196,,"{'UNE': 65, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 35, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 23, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",58,35,279,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11197,,"{'UNE': 81, 'AZUL': 0, 'VALOR UNIONISTA': 27, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 0, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 0, 'BIEN': 0, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 1}",60,34,281,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11198,,"{'UNE': 66, 'AZUL': 0, 'VALOR UNIONISTA': 35, 'CABAL': 1, 'TODOS': 2, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 16, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 0}",63,41,292,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11199,,"{'UNE': 56, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 20, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 10}",38,47,238,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1500,presidente
11200,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 20, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 34, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",32,28,220,11,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11201,,"{'UNE': 69, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 20, 'SEMILLA': 5, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 3, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 9}",25,53,273,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11202,,"{'UNE': 57, 'AZUL': 0, 'VALOR UNIONISTA': 23, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 21, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 18, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 1}",31,52,256,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11203,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 23, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 44, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",32,43,270,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11204,,"{'UNE': 71, 'AZUL': 0, 'VALOR UNIONISTA': 38, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 19, 'SEMILLA': 6, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 3, 'VIVA': 24, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 4}",29,54,278,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11205,,"{'UNE': 64, 'AZUL': 0, 'VALOR UNIONISTA': 28, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 30, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 27, 'SEMILLA': 6, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 2, 'VIVA': 29, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 4}",22,41,265,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11206,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 26, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 20, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 8, 'CREO': 0, 'BIEN': 0, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",26,44,237,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1501,presidente
11207,,"{'UNE': 22, 'AZUL': 0, 'VALOR UNIONISTA': 9, 'CABAL': 1, 'TODOS': 1, 'VAMOS': 12, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 0}",11,17,96,0,Algún campo sin dato,9.Quetzaltenango,15.Huitán,1502,presidente
