mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11208,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 11, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 39, 'CREO': 2, 'BIEN': 25, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",117,60,344,56,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11209,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 12, 'TODOS': 1, 'VAMOS': 32, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 46, 'CREO': 0, 'BIEN': 15, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 15}",122,58,358,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11210,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 7, 'TODOS': 2, 'VAMOS': 30, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 56, 'CREO': 1, 'BIEN': 18, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 11}",102,57,350,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,16.Zunil,1503,presidente
11211,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 9, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 43, 'CREO': 0, 'BIEN': 19, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",103,67,349,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11212,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 28, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 43, 'CREO': 0, 'BIEN': 16, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 18}",114,55,344,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11213,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 29, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 15, 'FCN-NACION': 1, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 36, 'CREO': 2, 'BIEN': 15, 'VIVA': 10, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",128,57,347,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11214,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 8, 'TODOS': 3, 'VAMOS': 34, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 10, 'FCN-NACION': 3, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 32, 'CREO': 2, 'BIEN': 32, 'VIVA': 16, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",131,47,355,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11215,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 34, 'PHG': 0, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 49, 'CREO': 1, 'BIEN': 23, 'VIVA': 19, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 12}",109,61,363,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11216,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 29, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 2, 'VICTORIA': 9, 'SEMILLA': 21, 'FCN-NACION': 2, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 50, 'CREO': 1, 'BIEN': 32, 'VIVA': 20, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 24}",52,61,341,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1503,presidente
11217,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 25, 'CREO': 0, 'BIEN': 15, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 19}",80,78,315,0,Algún campo sin dato,9.Quetzaltenango,16.Zunil,1504,presidente
