mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11235,,"{'UNE': 48, 'AZUL': 1, 'VALOR UNIONISTA': 8, 'CABAL': 6, 'TODOS': 7, 'VAMOS': 33, 'PHG': 1, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 3, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",24,33,223,13,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11236,,"{'UNE': 43, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 4, 'TODOS': 9, 'VAMOS': 38, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 25, 'FCN-NACION': 1, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 9, 'CREO': 3, 'BIEN': 4, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 11}",11,36,250,2,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11237,,"{'UNE': 55, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 2, 'TODOS': 12, 'VAMOS': 46, 'PHG': 1, 'PR': 0, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",30,43,259,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11238,,"{'UNE': 41, 'AZUL': 3, 'VALOR UNIONISTA': 14, 'CABAL': 8, 'TODOS': 10, 'VAMOS': 58, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",13,40,245,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11239,,"{'UNE': 45, 'AZUL': 1, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 15, 'VAMOS': 44, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 0, 'VIVA': 28, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 13}",30,54,277,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11240,,"{'UNE': 44, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 8, 'VAMOS': 59, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 7}",21,38,242,7,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11241,,"{'UNE': 47, 'AZUL': 4, 'VALOR UNIONISTA': 19, 'CABAL': 11, 'TODOS': 8, 'VAMOS': 40, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 20, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 6, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 13}",15,58,269,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11242,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 9, 'TODOS': 8, 'VAMOS': 44, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 7, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 11}",14,47,243,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1509,presidente
11243,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 8, 'TODOS': 11, 'VAMOS': 40, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 17, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 3, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",14,40,228,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1510,presidente
11244,,"{'UNE': 42, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 12, 'TODOS': 18, 'VAMOS': 48, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 1, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 0, 'BIEN': 5, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",15,47,260,0,Algún campo sin dato,9.Quetzaltenango,17.Colomba,1510,presidente
