mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11324,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 8, 'CABAL': 13, 'TODOS': 5, 'VAMOS': 34, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 20, 'CREO': 0, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 17}",71,34,269,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11325,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 7, 'TODOS': 5, 'VAMOS': 26, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 19, 'FCN-NACION': 0, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 43, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",57,53,285,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11326,,"{'UNE': 13, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 4, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 21, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 34, 'CREO': 0, 'BIEN': 1, 'VIVA': 11, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 14}",79,50,282,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11327,,"{'UNE': 12, 'AZUL': 1, 'VALOR UNIONISTA': 17, 'CABAL': 4, 'TODOS': 3, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 11, 'FCN-NACION': 2, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 59, 'CREO': 1, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",76,40,306,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11328,,"{'UNE': 17, 'AZUL': 1, 'VALOR UNIONISTA': 15, 'CABAL': 9, 'TODOS': 6, 'VAMOS': 36, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 26, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 38, 'CREO': 1, 'BIEN': 1, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 13}",65,41,298,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11329,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 10, 'TODOS': 9, 'VAMOS': 28, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 17, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 27, 'CREO': 0, 'BIEN': 2, 'VIVA': 13, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",59,57,276,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11330,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 7, 'TODOS': 7, 'VAMOS': 29, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 18, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 24, 'CREO': 2, 'BIEN': 2, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 16}",36,34,220,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1519,presidente
11331,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 12, 'TODOS': 5, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 36, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 25, 'CREO': 1, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",24,45,230,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1520,presidente
11332,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 5, 'TODOS': 4, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 34, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 28, 'CREO': 1, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 19}",31,50,258,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1520,presidente
11333,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 8, 'TODOS': 4, 'VAMOS': 27, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 20, 'CREO': 0, 'BIEN': 2, 'VIVA': 17, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 27}",16,31,246,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1520,presidente
11334,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 2, 'TODOS': 2, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 47, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 17, 'CREO': 0, 'BIEN': 1, 'VIVA': 10, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",12,32,169,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1520,presidente
11335,,"{'UNE': 3, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 21, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",23,25,158,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1520,presidente
11336,,"{'UNE': 2, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 9, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 1, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 4}",10,8,57,0,Algún campo sin dato,9.Quetzaltenango,18.San Francisco La Unión,1521,presidente
