mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11337,,"{'UNE': 51, 'AZUL': 2, 'VALOR UNIONISTA': 33, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 49, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 34, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 6}",19,34,288,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11338,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 35, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 40, 'SEMILLA': 22, 'FCN-NACION': 0, 'PPN': 7, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 3, 'BIEN': 3, 'VIVA': 28, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",21,42,272,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11339,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 31, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 41, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 3, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",24,44,298,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11340,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 36, 'CABAL': 9, 'TODOS': 1, 'VAMOS': 42, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 44, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 3, 'BIEN': 4, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",27,38,310,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11341,,"{'UNE': 73, 'AZUL': 0, 'VALOR UNIONISTA': 21, 'CABAL': 4, 'TODOS': 0, 'VAMOS': 45, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 43, 'SEMILLA': 13, 'FCN-NACION': 1, 'PPN': 5, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 12}",22,56,312,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11342,,"{'UNE': 44, 'AZUL': 1, 'VALOR UNIONISTA': 49, 'CABAL': 5, 'TODOS': 2, 'VAMOS': 56, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 26, 'SEMILLA': 21, 'FCN-NACION': 0, 'PPN': 12, 'UR': 3, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 2, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",14,33,312,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11343,,"{'UNE': 46, 'AZUL': 0, 'VALOR UNIONISTA': 30, 'CABAL': 5, 'TODOS': 0, 'VAMOS': 47, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 44, 'SEMILLA': 20, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 6, 'BIEN': 5, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 11}",28,44,314,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11344,,"{'UNE': 50, 'AZUL': 0, 'VALOR UNIONISTA': 28, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 35, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 50, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 8, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 2, 'VIVA': 9, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 12}",21,43,296,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11345,,"{'UNE': 33, 'AZUL': 1, 'VALOR UNIONISTA': 25, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 23, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 34, 'SEMILLA': 42, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 1, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 20}",8,35,258,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
11346,,"{'UNE': 49, 'AZUL': 2, 'VALOR UNIONISTA': 22, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 33, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 32, 'SEMILLA': 33, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 3, 'BIEN': 1, 'VIVA': 14, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 14}",18,50,287,0,Algún campo sin dato,9.Quetzaltenango,19.El Palmar,1522,presidente
