mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10710,,"{'UNE': 36, 'AZUL': 1, 'VALOR UNIONISTA': 13, 'CABAL': 27, 'TODOS': 0, 'VAMOS': 24, 'PHG': 2, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 80, 'FCN-NACION': 1, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 5, 'VIVA': 11, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 38}",10,32,296,1,,9.Quetzaltenango,2.Salcajá,1418,presidente
10711,,"{'UNE': 32, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 30, 'TODOS': 3, 'VAMOS': 22, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 65, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 7, 'VIVA': 10, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 37}",8,39,300,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1418,presidente
10712,,"{'UNE': 37, 'AZUL': 1, 'VALOR UNIONISTA': 22, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 24, 'PHG': 1, 'PR': 3, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 77, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 36}",9,41,306,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1418,presidente
10713,,"{'UNE': 31, 'AZUL': 6, 'VALOR UNIONISTA': 19, 'CABAL': 24, 'TODOS': 1, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 12, 'SEMILLA': 65, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 11, 'VIVA': 9, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 38}",11,35,309,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,2.Salcajá,1418,presidente
10714,,"{'UNE': 34, 'AZUL': 4, 'VALOR UNIONISTA': 30, 'CABAL': 18, 'TODOS': 4, 'VAMOS': 27, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 7, 'SEMILLA': 55, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 5, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 44}",7,36,295,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1418,presidente
10715,,"{'UNE': 30, 'AZUL': 3, 'VALOR UNIONISTA': 16, 'CABAL': 19, 'TODOS': 3, 'VAMOS': 31, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 60, 'FCN-NACION': 0, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 14, 'VIVA': 9, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 45}",12,27,305,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1418,presidente
10716,,"{'UNE': 35, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 27, 'TODOS': 2, 'VAMOS': 32, 'PHG': 1, 'PR': 5, 'PIN': 2, 'ELEFANTE': 4, 'VICTORIA': 8, 'SEMILLA': 48, 'FCN-NACION': 2, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 4, 'VIVA': 12, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 28}",15,43,319,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1418,presidente
10717,,"{'UNE': 34, 'AZUL': 3, 'VALOR UNIONISTA': 15, 'CABAL': 19, 'TODOS': 0, 'VAMOS': 44, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 11, 'SEMILLA': 73, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 3, 'VIVA': 11, 'MI FAMILIA': 9, 'CAMBIO': 2, 'VOS': 42}",11,30,322,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1418,presidente
10718,,"{'UNE': 45, 'AZUL': 4, 'VALOR UNIONISTA': 25, 'CABAL': 22, 'TODOS': 2, 'VAMOS': 32, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 73, 'FCN-NACION': 1, 'PPN': 1, 'UR': 6, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 6, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 38}",16,30,326,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1419,presidente
10719,,"{'UNE': 19, 'AZUL': 6, 'VALOR UNIONISTA': 24, 'CABAL': 22, 'TODOS': 1, 'VAMOS': 20, 'PHG': 2, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 83, 'FCN-NACION': 4, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 4, 'VIVA': 7, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 46}",9,21,293,0,Algún campo sin dato,9.Quetzaltenango,2.Salcajá,1419,presidente
