mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11385,,"{'UNE': 15, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 13, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 12, 'SEMILLA': 38, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 2, 'BIEN': 10, 'VIVA': 39, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 36}",5,33,262,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11386,,"{'UNE': 18, 'AZUL': 3, 'VALOR UNIONISTA': 27, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 10, 'VIVA': 29, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 14}",6,42,227,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11387,,"{'UNE': 13, 'AZUL': 4, 'VALOR UNIONISTA': 42, 'CABAL': 26, 'TODOS': 3, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 25, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 5, 'VIVA': 40, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 22}",7,38,248,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11388,,"{'UNE': 19, 'AZUL': 3, 'VALOR UNIONISTA': 25, 'CABAL': 25, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 31, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 6, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 30}",2,43,236,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11389,,"{'UNE': 23, 'AZUL': 2, 'VALOR UNIONISTA': 32, 'CABAL': 35, 'TODOS': 4, 'VAMOS': 8, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 35, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 38, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 18}",2,43,268,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11390,,"{'UNE': 19, 'AZUL': 4, 'VALOR UNIONISTA': 30, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 12, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 39, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 7, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 31}",2,43,270,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11391,,"{'UNE': 14, 'AZUL': 3, 'VALOR UNIONISTA': 0, 'CABAL': 15, 'TODOS': 6, 'VAMOS': 7, 'PHG': 0, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 54, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 5, 'VIVA': 31, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 24}",4,43,223,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,20.Coatepeque,1528,presidente
11392,,"{'UNE': 5, 'AZUL': 3, 'VALOR UNIONISTA': 31, 'CABAL': 11, 'TODOS': 3, 'VAMOS': 12, 'PHG': 2, 'PR': 3, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 13, 'SEMILLA': 29, 'FCN-NACION': 0, 'PPN': 0, 'UR': 5, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 12, 'VIVA': 28, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 23}",3,42,237,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11393,,"{'UNE': 22, 'AZUL': 3, 'VALOR UNIONISTA': 29, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 9, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 43, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 2, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 22}",1,37,237,163,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
11394,,"{'UNE': 23, 'AZUL': 1, 'VALOR UNIONISTA': 28, 'CABAL': 15, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 44, 'FCN-NACION': 0, 'PPN': 0, 'UR': 4, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 3, 'VIVA': 32, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 21}",4,34,234,0,Algún campo sin dato,9.Quetzaltenango,20.Coatepeque,1528,presidente
