mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11626,,"{'UNE': 59, 'AZUL': 0, 'VALOR UNIONISTA': 17, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 46, 'PHG': 2, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 8, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 28, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 7}",22,27,240,22,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1554,presidente
11627,,"{'UNE': 54, 'AZUL': 0, 'VALOR UNIONISTA': 31, 'CABAL': 2, 'TODOS': 1, 'VAMOS': 35, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 9}",31,39,264,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1554,presidente
11628,,"{'UNE': 60, 'AZUL': 2, 'VALOR UNIONISTA': 25, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 41, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 1, 'PPN': 0, 'UR': 3, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 1, 'VIVA': 31, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 7}",45,48,292,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1554,presidente
11629,,"{'UNE': 58, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 43, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 13}",33,49,289,1,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1555,presidente
11630,,"{'UNE': 51, 'AZUL': 0, 'VALOR UNIONISTA': 19, 'CABAL': 3, 'TODOS': 1, 'VAMOS': 57, 'PHG': 1, 'PR': 2, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 18, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 33, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 3}",26,48,276,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1555,presidente
11631,,"{'UNE': 63, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 1, 'TODOS': 0, 'VAMOS': 26, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 5, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 2}",20,42,261,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1555,presidente
11632,,"{'UNE': 45, 'AZUL': 0, 'VALOR UNIONISTA': 18, 'CABAL': 5, 'TODOS': 1, 'VAMOS': 34, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 35, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",25,39,243,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1555,presidente
11633,,"{'UNE': 44, 'AZUL': 0, 'VALOR UNIONISTA': 15, 'CABAL': 3, 'TODOS': 0, 'VAMOS': 27, 'PHG': 4, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 3, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",17,41,225,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1556,presidente
11634,,"{'UNE': 37, 'AZUL': 0, 'VALOR UNIONISTA': 16, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 35, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 50, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 6, 'VIVA': 33, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 8}",5,37,240,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1556,presidente
11635,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 11, 'CABAL': 2, 'TODOS': 0, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 23, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 3, 'VIVA': 17, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 1}",4,24,137,0,Algún campo sin dato,9.Quetzaltenango,22.Flores Costa Cuca,1556,presidente
