mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11667,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 16, 'CABAL': 26, 'TODOS': 4, 'VAMOS': 7, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 6, 'SEMILLA': 57, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 0, 'BIEN': 9, 'VIVA': 43, 'MI FAMILIA': 6, 'CAMBIO': 3, 'VOS': 46}",8,39,299,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11668,,"{'UNE': 7, 'AZUL': 1, 'VALOR UNIONISTA': 12, 'CABAL': 27, 'TODOS': 1, 'VAMOS': 7, 'PHG': 10, 'PR': 3, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 77, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 17, 'VIVA': 38, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 41}",15,45,326,0,,9.Quetzaltenango,23.La Esperanza,1564,presidente
11669,,"{'UNE': 0, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 0, 'TODOS': 0, 'VAMOS': 0, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 0, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 0, 'VIVA': 0, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 0}",0,0,0,0,Acta ilegible,9.Quetzaltenango,23.La Esperanza,1564,presidente
11670,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 6, 'PHG': 5, 'PR': 3, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 9, 'SEMILLA': 61, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 11, 'CREO': 3, 'BIEN': 11, 'VIVA': 43, 'MI FAMILIA': 6, 'CAMBIO': 3, 'VOS': 36}",12,35,305,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11671,,"{'UNE': 15, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 31, 'TODOS': 7, 'VAMOS': 6, 'PHG': 5, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 9, 'SEMILLA': 58, 'FCN-NACION': 0, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 10, 'CREO': 3, 'BIEN': 14, 'VIVA': 40, 'MI FAMILIA': 6, 'CAMBIO': 2, 'VOS': 38}",36,12,317,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11672,,"{'UNE': 3, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 23, 'TODOS': 4, 'VAMOS': 10, 'PHG': 10, 'PR': 4, 'PIN': 0, 'ELEFANTE': 5, 'VICTORIA': 5, 'SEMILLA': 69, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 2, 'BIEN': 12, 'VIVA': 26, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 36}",9,29,274,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11673,,"{'UNE': 8, 'AZUL': 4, 'VALOR UNIONISTA': 11, 'CABAL': 20, 'TODOS': 0, 'VAMOS': 5, 'PHG': 4, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 73, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 5, 'BIEN': 5, 'VIVA': 34, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 42}",10,35,274,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11674,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 21, 'TODOS': 1, 'VAMOS': 3, 'PHG': 4, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 74, 'FCN-NACION': 2, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 2, 'BIEN': 10, 'VIVA': 33, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 46}",4,29,265,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11675,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 14, 'CABAL': 22, 'TODOS': 5, 'VAMOS': 5, 'PHG': 5, 'PR': 2, 'PIN': 1, 'ELEFANTE': 5, 'VICTORIA': 6, 'SEMILLA': 58, 'FCN-NACION': 2, 'PPN': 3, 'UR': 4, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 8, 'VIVA': 38, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 39}",13,29,285,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11676,,"{'UNE': 11, 'AZUL': 3, 'VALOR UNIONISTA': 17, 'CABAL': 22, 'TODOS': 4, 'VAMOS': 3, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 71, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 8, 'VIVA': 25, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 46}",11,44,288,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11677,,"{'UNE': 7, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 31, 'TODOS': 2, 'VAMOS': 3, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 59, 'FCN-NACION': 0, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 4, 'BIEN': 9, 'VIVA': 35, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 39}",13,49,291,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11678,,"{'UNE': 12, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 18, 'TODOS': 2, 'VAMOS': 6, 'PHG': 6, 'PR': 5, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 14, 'SEMILLA': 53, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 11, 'VIVA': 41, 'MI FAMILIA': 7, 'CAMBIO': 1, 'VOS': 32}",10,40,284,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11679,,"{'UNE': 3, 'AZUL': 2, 'VALOR UNIONISTA': 15, 'CABAL': 25, 'TODOS': 1, 'VAMOS': 1, 'PHG': 3, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 88, 'FCN-NACION': 2, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 10, 'VIVA': 18, 'MI FAMILIA': 2, 'CAMBIO': 2, 'VOS': 43}",1,25,262,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1564,presidente
11680,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 10, 'CABAL': 15, 'TODOS': 2, 'VAMOS': 0, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 2, 'SEMILLA': 101, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 10, 'VIVA': 15, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 34}",2,24,233,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1565,presidente
11681,,"{'UNE': 3, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 17, 'TODOS': 2, 'VAMOS': 1, 'PHG': 8, 'PR': 4, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 118, 'FCN-NACION': 0, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 5, 'BIEN': 9, 'VIVA': 21, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 24}",1,26,255,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1565,presidente
11682,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 30, 'TODOS': 1, 'VAMOS': 3, 'PHG': 3, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 118, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 7, 'VIVA': 25, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 31}",2,25,262,0,Algún campo sin dato,9.Quetzaltenango,23.La Esperanza,1565,presidente
