mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
11701,,"{'UNE': 18, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 11, 'TODOS': 5, 'VAMOS': 11, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 10, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 11, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 9}",58,63,261,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11702,,"{'UNE': 11, 'AZUL': 2, 'VALOR UNIONISTA': 6, 'CABAL': 13, 'TODOS': 4, 'VAMOS': 14, 'PHG': 3, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 11, 'SEMILLA': 36, 'FCN-NACION': 0, 'PPN': 3, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 7, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 9, 'CAMBIO': 1, 'VOS': 8}",62,63,266,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11703,,"{'UNE': 23, 'AZUL': 3, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 5, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 11, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 23, 'BIEN': 2, 'VIVA': 7, 'MI FAMILIA': 16, 'CAMBIO': 0, 'VOS': 6}",65,64,279,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11704,,"{'UNE': 22, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 6, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 16, 'SEMILLA': 34, 'FCN-NACION': 3, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 8, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 19, 'CAMBIO': 0, 'VOS': 2}",71,39,256,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11705,,"{'UNE': 11, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 6, 'TODOS': 3, 'VAMOS': 16, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 19, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 19, 'CAMBIO': 0, 'VOS': 9}",81,61,288,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11706,,"{'UNE': 3, 'AZUL': 0, 'VALOR UNIONISTA': 4, 'CABAL': 6, 'TODOS': 5, 'VAMOS': 14, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 30, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 15, 'BIEN': 0, 'VIVA': 14, 'MI FAMILIA': 11, 'CAMBIO': 0, 'VOS': 11}",41,62,223,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11707,,"{'UNE': 6, 'AZUL': 1, 'VALOR UNIONISTA': 5, 'CABAL': 8, 'TODOS': 2, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 14, 'SEMILLA': 44, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 10, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 12, 'CAMBIO': 0, 'VOS': 13}",39,53,227,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11708,,"{'UNE': 15, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 9, 'TODOS': 3, 'VAMOS': 20, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 13, 'SEMILLA': 50, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 1, 'CREO': 11, 'BIEN': 1, 'VIVA': 7, 'MI FAMILIA': 14, 'CAMBIO': 0, 'VOS': 6}",22,41,219,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11709,,"{'UNE': 7, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 5, 'TODOS': 3, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 11, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 0, 'CREO': 8, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 20, 'CAMBIO': 0, 'VOS': 5}",32,51,206,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1570,presidente
11710,,"{'UNE': 12, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 11, 'TODOS': 2, 'VAMOS': 28, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 10, 'SEMILLA': 8, 'FCN-NACION': 2, 'PPN': 6, 'UR': 1, 'URNG-MAIZ WINAQ': 1, 'CREO': 23, 'BIEN': 2, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 6}",30,48,211,0,Algún campo sin dato,9.Quetzaltenango,24.Palestina De Los Altos,1571,presidente
