mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10745,,"{'UNE': 2, 'AZUL': 2, 'VALOR UNIONISTA': 18, 'CABAL': 22, 'TODOS': 4, 'VAMOS': 25, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 4, 'VICTORIA': 5, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 5, 'BIEN': 11, 'VIVA': 47, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 28}",15,44,279,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1425,presidente
10746,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 18, 'TODOS': 5, 'VAMOS': 37, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 40, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 7, 'VIVA': 46, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 35}",19,38,284,0,,9.Quetzaltenango,3.Olintepeque,1425,presidente
10747,,"{'UNE': 9, 'AZUL': 3, 'VALOR UNIONISTA': 11, 'CABAL': 11, 'TODOS': 6, 'VAMOS': 37, 'PHG': 0, 'PR': 3, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 3, 'UR': 3, 'URNG-MAIZ WINAQ': 10, 'CREO': 1, 'BIEN': 10, 'VIVA': 19, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 38}",20,43,283,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1425,presidente
10748,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 7, 'CABAL': 23, 'TODOS': 3, 'VAMOS': 29, 'PHG': 2, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 9, 'VIVA': 29, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 41}",27,45,287,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1425,presidente
10749,,"{'UNE': 12, 'AZUL': 7, 'VALOR UNIONISTA': 4, 'CABAL': 23, 'TODOS': 7, 'VAMOS': 44, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 25, 'FCN-NACION': 2, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 7, 'VIVA': 38, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 18}",21,46,277,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1425,presidente
10750,,"{'UNE': 6, 'AZUL': 4, 'VALOR UNIONISTA': 15, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 38, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 41, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 13, 'VIVA': 26, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 23}",18,50,280,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1425,presidente
10751,,"{'UNE': 8, 'AZUL': 4, 'VALOR UNIONISTA': 10, 'CABAL': 11, 'TODOS': 3, 'VAMOS': 39, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 6, 'UR': 0, 'URNG-MAIZ WINAQ': 7, 'CREO': 3, 'BIEN': 12, 'VIVA': 32, 'MI FAMILIA': 9, 'CAMBIO': 0, 'VOS': 36}",18,35,272,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1426,presidente
10752,,"{'UNE': 10, 'AZUL': 7, 'VALOR UNIONISTA': 7, 'CABAL': 17, 'TODOS': 4, 'VAMOS': 29, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 2, 'SEMILLA': 37, 'FCN-NACION': 3, 'PPN': 2, 'UR': 5, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 5, 'VIVA': 43, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 31}",21,34,282,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1426,presidente
10753,,"{'UNE': 8, 'AZUL': 5, 'VALOR UNIONISTA': 5, 'CABAL': 19, 'TODOS': 2, 'VAMOS': 19, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 48, 'FCN-NACION': 3, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 7, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 39}",2,31,237,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1426,presidente
10754,,"{'UNE': 5, 'AZUL': 4, 'VALOR UNIONISTA': 6, 'CABAL': 14, 'TODOS': 3, 'VAMOS': 17, 'PHG': 0, 'PR': 2, 'PIN': 3, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 42, 'FCN-NACION': 1, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 4, 'VIVA': 43, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 36}",4,40,241,1,,9.Quetzaltenango,3.Olintepeque,1426,presidente
10755,,"{'UNE': 8, 'AZUL': 4, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 20, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 62, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 11, 'VIVA': 36, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 39}",8,49,281,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1426,presidente
10756,,"{'UNE': 6, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 22, 'TODOS': 3, 'VAMOS': 14, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 8, 'CREO': 3, 'BIEN': 14, 'VIVA': 27, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 34}",12,45,259,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1426,presidente
10757,,"{'UNE': 11, 'AZUL': 5, 'VALOR UNIONISTA': 16, 'CABAL': 22, 'TODOS': 3, 'VAMOS': 25, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 3, 'VICTORIA': 4, 'SEMILLA': 54, 'FCN-NACION': 3, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 6, 'BIEN': 8, 'VIVA': 34, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 26}",7,24,273,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1426,presidente
10758,,"{'UNE': 5, 'AZUL': 5, 'VALOR UNIONISTA': 9, 'CABAL': 19, 'TODOS': 4, 'VAMOS': 32, 'PHG': 3, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 43, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 10, 'VIVA': 29, 'MI FAMILIA': 7, 'CAMBIO': 0, 'VOS': 29}",9,31,258,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1427,presidente
10759,,"{'UNE': 2, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 2, 'VAMOS': 22, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 94, 'FCN-NACION': 2, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 5, 'VIVA': 39, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 25}",0,24,243,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1427,presidente
10760,,"{'UNE': 7, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 16, 'TODOS': 3, 'VAMOS': 20, 'PHG': 0, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 112, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 10, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 25}",4,36,289,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1427,presidente
10761,,"{'UNE': 2, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 4, 'TODOS': 2, 'VAMOS': 21, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 77, 'FCN-NACION': 1, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 1, 'BIEN': 4, 'VIVA': 29, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 24}",2,26,212,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1427,presidente
10762,,"{'UNE': 3, 'AZUL': 2, 'VALOR UNIONISTA': 8, 'CABAL': 14, 'TODOS': 1, 'VAMOS': 16, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 52, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 2, 'BIEN': 7, 'VIVA': 32, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 15}",5,8,179,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1427,presidente
10763,,"{'UNE': 12, 'AZUL': 5, 'VALOR UNIONISTA': 4, 'CABAL': 21, 'TODOS': 7, 'VAMOS': 14, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 3, 'VICTORIA': 5, 'SEMILLA': 30, 'FCN-NACION': 0, 'PPN': 5, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 7, 'VIVA': 27, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 29}",9,57,245,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10764,,"{'UNE': 8, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 17, 'TODOS': 3, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 33, 'FCN-NACION': 1, 'PPN': 5, 'UR': 5, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 10, 'VIVA': 22, 'MI FAMILIA': 8, 'CAMBIO': 0, 'VOS': 32}",15,56,267,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10765,,"{'UNE': 2, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 27, 'TODOS': 4, 'VAMOS': 31, 'PHG': 1, 'PR': 1, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 29, 'FCN-NACION': 2, 'PPN': 7, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 1, 'BIEN': 8, 'VIVA': 27, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 25}",13,53,257,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10766,,"{'UNE': 5, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 22, 'TODOS': 8, 'VAMOS': 21, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 5, 'SEMILLA': 32, 'FCN-NACION': 0, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 9, 'VIVA': 42, 'MI FAMILIA': 3, 'CAMBIO': 1, 'VOS': 23}",0,56,257,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10767,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 22, 'TODOS': 3, 'VAMOS': 19, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 29, 'FCN-NACION': 3, 'PPN': 2, 'UR': 4, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 9, 'VIVA': 38, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 17}",14,60,254,0,,9.Quetzaltenango,3.Olintepeque,1428,presidente
10768,,"{'UNE': 4, 'AZUL': 5, 'VALOR UNIONISTA': 6, 'CABAL': 8, 'TODOS': 5, 'VAMOS': 13, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 46, 'FCN-NACION': 1, 'PPN': 5, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 2, 'BIEN': 3, 'VIVA': 27, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 36}",6,36,219,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10769,,"{'UNE': 7, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 16, 'TODOS': 1, 'VAMOS': 22, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 4, 'VICTORIA': 7, 'SEMILLA': 42, 'FCN-NACION': 2, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 0, 'BIEN': 7, 'VIVA': 38, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 25}",6,45,235,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10770,,"{'UNE': 1, 'AZUL': 1, 'VALOR UNIONISTA': 2, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 11, 'PHG': 1, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 1, 'SEMILLA': 75, 'FCN-NACION': 2, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 4, 'VIVA': 25, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 19}",1,24,182,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10771,,"{'UNE': 2, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 18, 'TODOS': 1, 'VAMOS': 7, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 48, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 4, 'VIVA': 24, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 24}",3,28,171,1,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1428,presidente
10772,,"{'UNE': 9, 'AZUL': 7, 'VALOR UNIONISTA': 8, 'CABAL': 9, 'TODOS': 16, 'VAMOS': 10, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 17, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 13, 'CREO': 1, 'BIEN': 7, 'VIVA': 20, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 15}",31,72,250,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1429,presidente
10773,,"{'UNE': 7, 'AZUL': 4, 'VALOR UNIONISTA': 3, 'CABAL': 14, 'TODOS': 23, 'VAMOS': 12, 'PHG': 1, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 1, 'SEMILLA': 9, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 2, 'BIEN': 6, 'VIVA': 18, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 10}",35,68,233,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1429,presidente
10774,,"{'UNE': 2, 'AZUL': 1, 'VALOR UNIONISTA': 4, 'CABAL': 14, 'TODOS': 11, 'VAMOS': 18, 'PHG': 2, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 10, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 4, 'CREO': 0, 'BIEN': 14, 'VIVA': 30, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 14}",30,59,221,0,Algún campo sin dato,9.Quetzaltenango,3.Olintepeque,1429,presidente
10775,,"{'UNE': 9, 'AZUL': 2, 'VALOR UNIONISTA': 5, 'CABAL': 13, 'TODOS': 19, 'VAMOS': 15, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 3, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 1, 'BIEN': 15, 'VIVA': 42, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 6}",27,49,231,0,,9.Quetzaltenango,3.Olintepeque,1429,presidente
