mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10786,,"{'UNE': 9, 'AZUL': 15, 'VALOR UNIONISTA': 45, 'CABAL': 24, 'TODOS': 3, 'VAMOS': 3, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 8, 'UR': 1, 'URNG-MAIZ WINAQ': 8, 'CREO': 2, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 5}",31,51,230,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10787,,"{'UNE': 5, 'AZUL': 13, 'VALOR UNIONISTA': 32, 'CABAL': 15, 'TODOS': 3, 'VAMOS': 6, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 7, 'SEMILLA': 10, 'FCN-NACION': 0, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 1, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 12}",25,52,224,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10788,,"{'UNE': 8, 'AZUL': 7, 'VALOR UNIONISTA': 49, 'CABAL': 21, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 9, 'UR': 3, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 9, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 11}",28,50,227,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10789,,"{'UNE': 4, 'AZUL': 8, 'VALOR UNIONISTA': 40, 'CABAL': 20, 'TODOS': 1, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 15, 'FCN-NACION': 0, 'PPN': 7, 'UR': 4, 'URNG-MAIZ WINAQ': 6, 'CREO': 4, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 16}",22,54,232,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10790,,"{'UNE': 6, 'AZUL': 7, 'VALOR UNIONISTA': 26, 'CABAL': 18, 'TODOS': 5, 'VAMOS': 3, 'PHG': 0, 'PR': 3, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 24, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 7, 'CREO': 1, 'BIEN': 7, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 15}",27,43,212,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10791,,"{'UNE': 5, 'AZUL': 8, 'VALOR UNIONISTA': 30, 'CABAL': 19, 'TODOS': 4, 'VAMOS': 8, 'PHG': 1, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 16, 'FCN-NACION': 1, 'PPN': 11, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 1, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 10}",12,53,201,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10792,,"{'UNE': 4, 'AZUL': 9, 'VALOR UNIONISTA': 42, 'CABAL': 23, 'TODOS': 6, 'VAMOS': 2, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 6, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 12, 'UR': 3, 'URNG-MAIZ WINAQ': 5, 'CREO': 0, 'BIEN': 1, 'VIVA': 21, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",13,38,213,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10793,,"{'UNE': 1, 'AZUL': 7, 'VALOR UNIONISTA': 39, 'CABAL': 23, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 22, 'FCN-NACION': 3, 'PPN': 9, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 3, 'BIEN': 4, 'VIVA': 22, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 25}",18,45,245,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1432,presidente
10794,,"{'UNE': 8, 'AZUL': 6, 'VALOR UNIONISTA': 30, 'CABAL': 26, 'TODOS': 0, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 1, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 6, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 0, 'VIVA': 13, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 17}",19,42,211,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1433,presidente
10795,,"{'UNE': 1, 'AZUL': 15, 'VALOR UNIONISTA': 38, 'CABAL': 16, 'TODOS': 2, 'VAMOS': 4, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 27, 'FCN-NACION': 0, 'PPN': 3, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 3, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 23}",10,38,199,0,Algún campo sin dato,9.Quetzaltenango,4.San Carlos Sija,1433,presidente
