mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10834,,"{'UNE': 21, 'AZUL': 1, 'VALOR UNIONISTA': 29, 'CABAL': 5, 'TODOS': 8, 'VAMOS': 80, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 14, 'FCN-NACION': 0, 'PPN': 0, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 5}",23,54,266,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,5.Sibilia,1440,presidente
10835,,"{'UNE': 16, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 6, 'TODOS': 11, 'VAMOS': 85, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 14, 'FCN-NACION': 2, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 2, 'BIEN': 0, 'VIVA': 10, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",42,47,272,1,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1440,presidente
10836,,"{'UNE': 11, 'AZUL': 1, 'VALOR UNIONISTA': 24, 'CABAL': 11, 'TODOS': 6, 'VAMOS': 108, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 1, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 6}",72,43,310,0,Sumas Asentadas sin cuadrar,9.Quetzaltenango,5.Sibilia,1440,presidente
10837,,"{'UNE': 9, 'AZUL': 5, 'VALOR UNIONISTA': 20, 'CABAL': 12, 'TODOS': 5, 'VAMOS': 61, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 12, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 1, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",33,43,230,0,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1440,presidente
10838,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 20, 'CABAL': 8, 'TODOS': 4, 'VAMOS': 61, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 2, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",20,37,206,4,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1440,presidente
10839,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 17, 'CABAL': 8, 'TODOS': 6, 'VAMOS': 69, 'PHG': 0, 'PR': 0, 'PIN': 2, 'ELEFANTE': 1, 'VICTORIA': 7, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",14,45,223,0,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1440,presidente
10840,,"{'UNE': 5, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 66, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 28, 'FCN-NACION': 0, 'PPN': 4, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 12}",17,38,207,0,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1440,presidente
10841,,"{'UNE': 4, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 4, 'TODOS': 3, 'VAMOS': 48, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 3, 'SEMILLA': 18, 'FCN-NACION': 0, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 0, 'BIEN': 2, 'VIVA': 6, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 9}",15,43,166,0,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1440,presidente
10842,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 33, 'CABAL': 14, 'TODOS': 9, 'VAMOS': 51, 'PHG': 1, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 8, 'FCN-NACION': 0, 'PPN': 3, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 0, 'BIEN': 1, 'VIVA': 12, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",58,44,271,0,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1441,presidente
10843,,"{'UNE': 24, 'AZUL': 0, 'VALOR UNIONISTA': 42, 'CABAL': 7, 'TODOS': 5, 'VAMOS': 93, 'PHG': 0, 'PR': 6, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 4, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 1, 'CREO': 1, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",50,37,304,0,,9.Quetzaltenango,5.Sibilia,1441,presidente
10844,,"{'UNE': 28, 'AZUL': 1, 'VALOR UNIONISTA': 39, 'CABAL': 7, 'TODOS': 0, 'VAMOS': 45, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 3, 'SEMILLA': 11, 'FCN-NACION': 0, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 3, 'CREO': 1, 'BIEN': 3, 'VIVA': 5, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 9}",24,40,227,0,Algún campo sin dato,9.Quetzaltenango,5.Sibilia,1441,presidente
