mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10892,,"{'UNE': 33, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 5, 'TODOS': 34, 'VAMOS': 33, 'PHG': 0, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 41, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 14, 'CREO': 0, 'BIEN': 0, 'VIVA': 7, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",51,49,291,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10893,,"{'UNE': 31, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 3, 'TODOS': 51, 'VAMOS': 26, 'PHG': 0, 'PR': 1, 'PIN': 1, 'ELEFANTE': 1, 'VICTORIA': 42, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 0, 'VIVA': 11, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 2}",57,42,298,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10894,,"{'UNE': 30, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 5, 'TODOS': 37, 'VAMOS': 27, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 52, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 0, 'VIVA': 8, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 11}",55,42,293,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10895,,"{'UNE': 27, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 4, 'TODOS': 59, 'VAMOS': 17, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 39, 'SEMILLA': 13, 'FCN-NACION': 0, 'PPN': 4, 'UR': 1, 'URNG-MAIZ WINAQ': 16, 'CREO': 2, 'BIEN': 2, 'VIVA': 1, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 4}",47,50,294,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10896,,"{'UNE': 47, 'AZUL': 1, 'VALOR UNIONISTA': 3, 'CABAL': 1, 'TODOS': 42, 'VAMOS': 27, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 51, 'SEMILLA': 1, 'FCN-NACION': 2, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 0, 'BIEN': 0, 'VIVA': 3, 'MI FAMILIA': 5, 'CAMBIO': 0, 'VOS': 2}",50,48,298,2,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10897,,"{'UNE': 48, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 65, 'VAMOS': 20, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 35, 'SEMILLA': 9, 'FCN-NACION': 0, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 11, 'CREO': 2, 'BIEN': 0, 'VIVA': 4, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 2}",58,38,307,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10898,,"{'UNE': 42, 'AZUL': 1, 'VALOR UNIONISTA': 1, 'CABAL': 0, 'TODOS': 62, 'VAMOS': 34, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 44, 'SEMILLA': 7, 'FCN-NACION': 2, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 12, 'CREO': 0, 'BIEN': 1, 'VIVA': 9, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",40,43,310,2,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10899,,"{'UNE': 25, 'AZUL': 4, 'VALOR UNIONISTA': 5, 'CABAL': 2, 'TODOS': 58, 'VAMOS': 41, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 54, 'SEMILLA': 4, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 11, 'CREO': 1, 'BIEN': 0, 'VIVA': 6, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 6}",48,38,311,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10900,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 2, 'CABAL': 3, 'TODOS': 54, 'VAMOS': 25, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 55, 'SEMILLA': 5, 'FCN-NACION': 1, 'PPN': 2, 'UR': 0, 'URNG-MAIZ WINAQ': 6, 'CREO': 1, 'BIEN': 1, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 6}",62,38,302,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
10901,,"{'UNE': 28, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 5, 'TODOS': 48, 'VAMOS': 25, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 46, 'SEMILLA': 2, 'FCN-NACION': 1, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 9, 'CREO': 4, 'BIEN': 1, 'VIVA': 5, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 2}",60,48,291,0,Algún campo sin dato,9.Quetzaltenango,7.Cajolá,1453,presidente
