mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10914,,"{'UNE': 29, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 8, 'TODOS': 0, 'VAMOS': 10, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 27, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 5, 'CREO': 26, 'BIEN': 1, 'VIVA': 35, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 10}",56,70,290,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1457,presidente
10915,,"{'UNE': 19, 'AZUL': 0, 'VALOR UNIONISTA': 0, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 15, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 46, 'SEMILLA': 3, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 5, 'CREO': 25, 'BIEN': 2, 'VIVA': 23, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 7}",69,81,306,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1457,presidente
10916,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 3, 'CABAL': 4, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 41, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 2, 'UR': 2, 'URNG-MAIZ WINAQ': 4, 'CREO': 35, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 1, 'CAMBIO': 1, 'VOS': 4}",104,58,326,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1458,presidente
10917,,"{'UNE': 18, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 6, 'TODOS': 1, 'VAMOS': 18, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 60, 'SEMILLA': 0, 'FCN-NACION': 0, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 4, 'CREO': 29, 'BIEN': 3, 'VIVA': 31, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 5}",99,44,326,0,,9.Quetzaltenango,8.San Miguel Sigüilá,1459,presidente
10918,,"{'UNE': 25, 'AZUL': 2, 'VALOR UNIONISTA': 1, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 20, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 56, 'SEMILLA': 7, 'FCN-NACION': 0, 'PPN': 1, 'UR': 0, 'URNG-MAIZ WINAQ': 2, 'CREO': 38, 'BIEN': 0, 'VIVA': 23, 'MI FAMILIA': 0, 'CAMBIO': 0, 'VOS': 3}",82,48,317,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1459,presidente
10919,,"{'UNE': 25, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 7, 'TODOS': 1, 'VAMOS': 25, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 33, 'SEMILLA': 1, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 3, 'CREO': 31, 'BIEN': 2, 'VIVA': 36, 'MI FAMILIA': 0, 'CAMBIO': 1, 'VOS': 3}",122,38,331,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1460,presidente
10920,,"{'UNE': 16, 'AZUL': 1, 'VALOR UNIONISTA': 0, 'CABAL': 1, 'TODOS': 3, 'VAMOS': 8, 'PHG': 0, 'PR': 1, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 32, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 2, 'UR': 1, 'URNG-MAIZ WINAQ': 0, 'CREO': 12, 'BIEN': 2, 'VIVA': 21, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 5}",67,49,230,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1460,presidente
10921,,"{'UNE': 16, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 6, 'TODOS': 0, 'VAMOS': 11, 'PHG': 0, 'PR': 2, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 23, 'SEMILLA': 7, 'FCN-NACION': 1, 'PPN': 0, 'UR': 1, 'URNG-MAIZ WINAQ': 10, 'CREO': 13, 'BIEN': 1, 'VIVA': 26, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 3}",63,49,239,8,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1460,presidente
10922,,"{'UNE': 10, 'AZUL': 0, 'VALOR UNIONISTA': 1, 'CABAL': 9, 'TODOS': 2, 'VAMOS': 8, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 27, 'SEMILLA': 12, 'FCN-NACION': 1, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 23, 'BIEN': 1, 'VIVA': 20, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 4}",45,48,217,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1460,presidente
10923,,"{'UNE': 18, 'AZUL': 0, 'VALOR UNIONISTA': 3, 'CABAL': 10, 'TODOS': 1, 'VAMOS': 13, 'PHG': 0, 'PR': 0, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 31, 'SEMILLA': 16, 'FCN-NACION': 0, 'PPN': 0, 'UR': 0, 'URNG-MAIZ WINAQ': 3, 'CREO': 23, 'BIEN': 1, 'VIVA': 29, 'MI FAMILIA': 1, 'CAMBIO': 0, 'VOS': 8}",40,45,242,0,Algún campo sin dato,9.Quetzaltenango,8.San Miguel Sigüilá,1460,presidente
