mesa,acta_url,partidos,votos_blanco,votos_nulos,votos_total,votos_invalidos,observaciones,departamento,municipio,centro,tipo
10927,,"{'UNE': 14, 'AZUL': 1, 'VALOR UNIONISTA': 9, 'CABAL': 29, 'TODOS': 3, 'VAMOS': 8, 'PHG': 6, 'PR': 2, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 9, 'SEMILLA': 33, 'FCN-NACION': 2, 'PPN': 2, 'UR': 7, 'URNG-MAIZ WINAQ': 17, 'CREO': 2, 'BIEN': 1, 'VIVA': 15, 'MI FAMILIA': 2, 'CAMBIO': 0, 'VOS': 24}",41,50,278,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10928,,"{'UNE': 13, 'AZUL': 1, 'VALOR UNIONISTA': 6, 'CABAL': 33, 'TODOS': 8, 'VAMOS': 8, 'PHG': 8, 'PR': 2, 'PIN': 0, 'ELEFANTE': 3, 'VICTORIA': 6, 'SEMILLA': 24, 'FCN-NACION': 1, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 12, 'CREO': 4, 'BIEN': 2, 'VIVA': 16, 'MI FAMILIA': 3, 'CAMBIO': 2, 'VOS': 40}",19,65,283,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10929,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 10, 'CABAL': 32, 'TODOS': 5, 'VAMOS': 8, 'PHG': 10, 'PR': 0, 'PIN': 0, 'ELEFANTE': 2, 'VICTORIA': 4, 'SEMILLA': 26, 'FCN-NACION': 0, 'PPN': 4, 'UR': 2, 'URNG-MAIZ WINAQ': 12, 'CREO': 2, 'BIEN': 0, 'VIVA': 19, 'MI FAMILIA': 5, 'CAMBIO': 1, 'VOS': 36}",27,48,265,135,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10930,,"{'UNE': 17, 'AZUL': 0, 'VALOR UNIONISTA': 10, 'CABAL': 31, 'TODOS': 7, 'VAMOS': 8, 'PHG': 2, 'PR': 0, 'PIN': 1, 'ELEFANTE': 2, 'VICTORIA': 8, 'SEMILLA': 34, 'FCN-NACION': 3, 'PPN': 8, 'UR': 4, 'URNG-MAIZ WINAQ': 13, 'CREO': 4, 'BIEN': 3, 'VIVA': 8, 'MI FAMILIA': 3, 'CAMBIO': 0, 'VOS': 42}",23,55,286,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10931,,"{'UNE': 13, 'AZUL': 5, 'VALOR UNIONISTA': 14, 'CABAL': 46, 'TODOS': 12, 'VAMOS': 6, 'PHG': 2, 'PR': 2, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 5, 'SEMILLA': 23, 'FCN-NACION': 2, 'PPN': 3, 'UR': 5, 'URNG-MAIZ WINAQ': 8, 'CREO': 5, 'BIEN': 0, 'VIVA': 17, 'MI FAMILIA': 4, 'CAMBIO': 1, 'VOS': 30}",28,59,290,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10932,,"{'UNE': 10, 'AZUL': 2, 'VALOR UNIONISTA': 11, 'CABAL': 30, 'TODOS': 2, 'VAMOS': 7, 'PHG': 4, 'PR': 4, 'PIN': 0, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 26, 'FCN-NACION': 1, 'PPN': 1, 'UR': 3, 'URNG-MAIZ WINAQ': 16, 'CREO': 6, 'BIEN': 3, 'VIVA': 18, 'MI FAMILIA': 6, 'CAMBIO': 1, 'VOS': 25}",30,67,283,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10933,,"{'UNE': 17, 'AZUL': 2, 'VALOR UNIONISTA': 13, 'CABAL': 31, 'TODOS': 11, 'VAMOS': 7, 'PHG': 8, 'PR': 4, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 10, 'SEMILLA': 26, 'FCN-NACION': 2, 'PPN': 4, 'UR': 3, 'URNG-MAIZ WINAQ': 13, 'CREO': 3, 'BIEN': 4, 'VIVA': 8, 'MI FAMILIA': 4, 'CAMBIO': 0, 'VOS': 25}",25,50,271,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10934,,"{'UNE': 14, 'AZUL': 2, 'VALOR UNIONISTA': 12, 'CABAL': 34, 'TODOS': 2, 'VAMOS': 5, 'PHG': 8, 'PR': 2, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 15, 'SEMILLA': 37, 'FCN-NACION': 1, 'PPN': 2, 'UR': 3, 'URNG-MAIZ WINAQ': 11, 'CREO': 4, 'BIEN': 4, 'VIVA': 18, 'MI FAMILIA': 6, 'CAMBIO': 0, 'VOS': 41}",21,48,291,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10935,,"{'UNE': 8, 'AZUL': 0, 'VALOR UNIONISTA': 6, 'CABAL': 20, 'TODOS': 6, 'VAMOS': 7, 'PHG': 2, 'PR': 3, 'PIN': 0, 'ELEFANTE': 1, 'VICTORIA': 8, 'SEMILLA': 51, 'FCN-NACION': 1, 'PPN': 1, 'UR': 1, 'URNG-MAIZ WINAQ': 7, 'CREO': 5, 'BIEN': 3, 'VIVA': 19, 'MI FAMILIA': 3, 'CAMBIO': 3, 'VOS': 45}",9,47,256,0,Algún campo sin dato,9.Quetzaltenango,9.Ostuncalco,1461,presidente
10936,,"{'UNE': 9, 'AZUL': 0, 'VALOR UNIONISTA': 7, 'CABAL': 26, 'TODOS': 6, 'VAMOS': 5, 'PHG': 1, 'PR': 0, 'PIN': 1, 'ELEFANTE': 0, 'VICTORIA': 6, 'SEMILLA': 55, 'FCN-NACION': 1, 'PPN': 1, 'UR': 2, 'URNG-MAIZ WINAQ': 15, 'CREO': 2, 'BIEN': 4, 'VIVA': 16, 'MI FAMILIA': 2, 'CAMBIO': 1, 'VOS': 27}",12,40,239,0,,9.Quetzaltenango,9.Ostuncalco,1461,presidente
